item_code,item_name,category,unit,location,unit_price,min_stock,current_qty,total_value
OFF-018,คลิปดำหนีบกระดาษ เบอร์ 108 (กล่อง 12 ตัว),วัสดุสำนักงาน,กล่อง,ห้องพัสดุกลาง ชั้น 1,38.00,15,34,1292.00
OFF-019,คลิปดำหนีบกระดาษ เบอร์ 111 (กล่อง 12 ตัว),วัสดุสำนักงาน,กล่อง,ห้องพัสดุกลาง ชั้น 1,28.00,20,45,1260.00
OFF-020,ลวดเสียบกระดาษ เบอร์ 1 ชนิดกลม (กล่อง 50 ตัว),วัสดุสำนักงาน,กล่อง,ห้องพัสดุกลาง ชั้น 1,12.00,30,70,840.00
OFF-021,เทปใสแกนเล็ก 3/4 นิ้ว x 36 หลา หลุยส์เทป,วัสดุสำนักงาน,ม้วน,ห้องพัสดุกลาง ชั้น 1,16.00,25,55,880.00
OFF-022,เทปปิดกล่อง OPP สีน้ำตาล 2 นิ้ว x 45 หลา,วัสดุสำนักงาน,ม้วน,ห้องพัสดุกลาง ชั้น 1,28.00,20,44,1232.00
OFF-023,เทปผ้าติดสันปก สีน้ำเงิน 1.5 นิ้ว,วัสดุสำนักงาน,ม้วน,ห้องพัสดุกลาง ชั้น 1,45.00,15,30,1350.00
OFF-024,เทปผ้าติดสันปก สีแดง 1.5 นิ้ว,วัสดุสำนักงาน,ม้วน,ห้องพัสดุกลาง ชั้น 1,45.00,15,26,1170.00
OFF-025,กรรไกรตราช้าง 8 นิ้ว รุ่นสแตนเลส,วัสดุสำนักงาน,เล่ม,ห้องพัสดุกลาง ชั้น 1,48.00,12,28,1344.00
OFF-026,คัตเตอร์ SDI รุ่นด้ามใหญ่ 18 มม.,วัสดุสำนักงาน,เล่ม,ห้องพัสดุกลาง ชั้น 1,35.00,15,33,1155.00
OFF-027,ใบมีดคัตเตอร์ L-150 ขนาด 18 มม. (หลอด 10 ใบ),วัสดุสำนักงาน,หลอด,ห้องพัสดุกลาง ชั้น 1,30.00,20,46,1380.00
OFF-028,กาวน้ำใส 560 มล. ตราม้า,วัสดุสำนักงาน,ขวด,ห้องพัสดุกลาง ชั้น 1,32.00,15,31,992.00
OFF-029,กาวแท่ง UHU 21 กรัม,วัสดุสำนักงาน,แท่ง,ห้องพัสดุกลาง ชั้น 1,36.00,25,52,1872.00
OFF-030,กระดาษโน้ตดัชนีมีกาว 3M Post-it 3x3 นิ้ว,วัสดุสำนักงาน,แพ็ค,ห้องพัสดุกลาง ชั้น 1,42.00,20,48,2016.00
IT-001,สายสัญญาณ HDMI 2.0 ความยาว 3 เมตร,วัสดุคอมพิวเตอร์,เส้น,ห้องเซิร์ฟเวอร์ อาคาร 2,180.00,10,25,4500.00
IT-002,สายสัญญาณ HDMI 2.0 ความยาว 10 เมตร (ห้องประชุม),วัสดุคอมพิวเตอร์,เส้น,ห้องเซิร์ฟเวอร์ อาคาร 2,450.00,5,11,4950.00
IT-003,สายสัญญาณ VGA หัวทอง ยาว 5 เมตร,วัสดุคอมพิวเตอร์,เส้น,ห้องเซิร์ฟเวอร์ อาคาร 2,120.00,8,14,1680.00
IT-004,สาย LAN สำเร็จรูป UTP Cat6 3 เมตร,วัสดุคอมพิวเตอร์,เส้น,ห้องเซิร์ฟเวอร์ อาคาร 2,85.00,15,35,2975.00
IT-005,หัวต่อสัญญาณ Type-C to HDMI/VGA Multiport,วัสดุคอมพิวเตอร์,ตัว,ห้องเซิร์ฟเวอร์ อาคาร 2,390.00,5,12,4680.00
IT-006,เม้าส์ไร้สาย Logitech M170 Wireless Mouse,วัสดุคอมพิวเตอร์,ตัว,ห้องเซิร์ฟเวอร์ อาคาร 2,280.00,10,23,6440.00
IT-007,เม้าส์ USB มีสาย Logitech B100 (สำหรับห้องคอมฯ),วัสดุคอมพิวเตอร์,ตัว,ห้องปฏิบัติการคอมพิวเตอร์ 1,160.00,20,45,7200.00
IT-008,คีย์บอร์ด USB Logitech K120,วัสดุคอมพิวเตอร์,ตัว,ห้องปฏิบัติการคอมพิวเตอร์ 1,290.00,15,36,10440.00
IT-009,ปลั๊กพ่วงกันไฟกระชาก 5 ช่อง 5 เมตร มาตรฐาน มอก.,วัสดุไฟฟ้าและวิทยุ,ชุด,ห้องพัสดุกลาง ชั้น 1,380.00,10,28,10640.00
IT-010,ปลั๊กพ่วง 3 ช่อง 3 เมตร มาตรฐาน มอก.,วัสดุไฟฟ้าและวิทยุ,ชุด,ห้องพัสดุกลาง ชั้น 1,220.00,12,30,6600.00
IT-011,ตลับหมึกเลเซอร์ HP Laser Toner 85A (CE285A),วัสดุคอมพิวเตอร์,ตลับ,ห้องเซิร์ฟเวอร์ อาคาร 2,1850.00,4,7,12950.00
IT-012,ตลับหมึกเลเซอร์ Canon Cartridge 057,วัสดุคอมพิวเตอร์,ตลับ,ห้องเซิร์ฟเวอร์ อาคาร 2,2450.00,3,5,12250.00
IT-013,น้ำหมึกเติม Canon GI-790 สีดำ (Black),วัสดุคอมพิวเตอร์,ขวด,ห้องพัสดุกลาง ชั้น 1,290.00,8,19,5510.00
IT-014,น้ำหมึกเติม Canon GI-790 สีฟ้า (Cyan),วัสดุคอมพิวเตอร์,ขวด,ห้องพัสดุกลาง ชั้น 1,260.00,5,12,3120.00
IT-015,น้ำหมึกเติม Canon GI-790 สีม่วงแดง (Magenta),วัสดุคอมพิวเตอร์,ขวด,ห้องพัสดุกลาง ชั้น 1,260.00,5,11,2860.00
IT-016,น้ำหมึกเติม Canon GI-790 สีเหลือง (Yellow),วัสดุคอมพิวเตอร์,ขวด,ห้องพัสดุกลาง ชั้น 1,260.00,5,13,3380.00
IT-017,น้ำหมึกเติม Epson 003 สีดำ (Black),วัสดุคอมพิวเตอร์,ขวด,ห้องพัสดุกลาง ชั้น 1,250.00,8,20,5000.00
IT-018,แฟลชไดรฟ์ Kingston DataTraveler 64GB USB 3.2,วัสดุคอมพิวเตอร์,ชิ้น,ห้องเซิร์ฟเวอร์ อาคาร 2,159.00,15,34,5406.00
IT-019,ปากกาเลเซอร์พอยเตอร์ไร้สาย สำหรับงานนำเสนอ,วัสดุการศึกษา,อัน,ห้องโสตทัศนศึกษา,350.00,6,14,4900.00
IT-020,ถ่านอัลคาไลน์ Panasonic AA (แพ็ค 12 ก้อน),วัสดุไฟฟ้าและวิทยุ,แพ็ค,ห้องพัสดุกลาง ชั้น 1,195.00,15,38,7410.00
IT-021,ถ่านอัลคาไลน์ Panasonic AAA (แพ็ค 12 ก้อน),วัสดุไฟฟ้าและวิทยุ,แพ็ค,ห้องพัสดุกลาง ชั้น 1,195.00,15,35,6825.00
IT-022,ถ่าน 9V Panasonic สำหรับไมโครโฟนไร้สาย,วัสดุไฟฟ้าและวิทยุ,ก้อน,ห้องโสตทัศนศึกษา,75.00,10,24,1800.00
IT-023,ไมโครโฟนสาย Shure พร้อมสายสัญญาณ 5 เมตร,วัสดุไฟฟ้าและวิทยุ,ชุด,ห้องโสตทัศนศึกษา,950.00,4,8,7600.00
IT-024,ฟองน้ำหุ้มหัวไมโครโฟน คละสี (แพ็ค 5 ชิ้น),วัสดุไฟฟ้าและวิทยุ,แพ็ค,ห้องโสตทัศนศึกษา,85.00,8,16,1360.00
IT-025,จอโปรเจกเตอร์ตั้งพื้นพับเก็บได้ ขนาด 70x70 นิ้ว Vertex,วัสดุการศึกษา,ชุด,ห้องโสตทัศนศึกษา,2100.00,2,4,8400.00
SPT-001,ลูกฟุตบอลหนังเย็บ Mikasa เบอร์ 5,วัสดุกีฬา,ลูก,ห้องพักครูหมวดพลศึกษา,480.00,10,24,11520.00
SPT-002,ลูกฟุตซอล Molten เบอร์ 3.5 รุ่นแข่งขัน,วัสดุกีฬา,ลูก,ห้องพักครูหมวดพลศึกษา,520.00,8,18,9360.00
SPT-003,ลูกบาสเกตบอล Molten BG3800 เบอร์ 7,วัสดุกีฬา,ลูก,ห้องพักครูหมวดพลศึกษา,750.00,8,16,12000.00
SPT-004,ลูกวอลเลย์บอล Mikasa V300W รุ่นแข่งขัน,วัสดุกีฬา,ลูก,ห้องพักครูหมวดพลศึกษา,980.00,8,15,14700.00
SPT-005,ลูกเซปักตะกร้อใยสังเคราะห์ Marathon MT-201,วัสดุกีฬา,ลูก,ห้องพักครูหมวดพลศึกษา,220.00,12,28,6160.00
SPT-006,ไม้แบดมินตัน Yonex รุ่นฝึกซ้อม (แพ็คคู่),วัสดุกีฬา,คู่,ห้องพักครูหมวดพลศึกษา,550.00,10,20,11000.00
SPT-007,ลูกขนไก่พลาสติก Yonex Mavis 350 (หลอด 6 ลูก),วัสดุกีฬา,หลอด,ห้องพักครูหมวดพลศึกษา,320.00,15,32,10240.00
SPT-008,ไม้ปิงปอง Butterfly พร้อมยางสองหน้า,วัสดุกีฬา,อัน,ห้องพักครูหมวดพลศึกษา,350.00,12,25,8750.00
SPT-009,ลูกปิงปองฝึกซ้อม สีส้ม 3 ดาว (กล่อง 6 ลูก),วัสดุกีฬา,กล่อง,ห้องพักครูหมวดพลศึกษา,110.00,15,35,3850.00
SPT-010,นกหวีดกรรมการ Fox 40 Classic พร้อมสายคล้อง,วัสดุกีฬา,ตัว,ห้องพักครูหมวดพลศึกษา,260.00,6,14,3640.00
SPT-011,กรวยฝึกซ้อมกีฬา สีส้ม ขนาด 12 นิ้ว,วัสดุกีฬา,อัน,ห้องพักครูหมวดพลศึกษา,55.00,25,50,2750.00
SPT-012,มาร์กเกอร์จานซ้อมวิ่ง Agility Cones (ชุด 50 ชิ้น),วัสดุกีฬา,ชุด,ห้องพักครูหมวดพลศึกษา,390.00,4,8,3120.00
SPT-013,เชือกกระโดดออกกำลังกาย แบบปรับความยาวได้,วัสดุกีฬา,เส้น,ห้องพักครูหมวดพลศึกษา,65.00,20,42,2730.00
SPT-014,ตาข่ายวอลเลย์บอลมาตรฐาน มีลวดสลิง,วัสดุกีฬา,ผืน,ห้องพักครูหมวดพลศึกษา,850.00,2,5,4250.00
SPT-015,ตาข่ายเซปักตะกร้อแข่งขัน ไนลอนถัก,วัสดุกีฬา,ผืน,ห้องพักครูหมวดพลศึกษา,420.00,3,6,2520.00
SPT-016,กระบอกสูบลมลูกบอลแบบมีเกจวัดแรงดัน,วัสดุกีฬา,กระบอก,ห้องพักครูหมวดพลศึกษา,280.00,4,9,2520.00
SPT-017,เข็มสูบลมลูกบอลกีฬา สแตนเลส (แพ็ค 5 ชิ้น),วัสดุกีฬา,แพ็ค,ห้องพักครูหมวดพลศึกษา,45.00,15,36,1620.00
SPT-018,เบาะยิมนาสติก ฟองน้ำอัด พับ 2 ตอน หนา 2 นิ้ว,วัสดุกีฬา,หลัง,ห้องพักครูหมวดพลศึกษา,1850.00,2,6,11100.00
SPT-019,เสื้อเอี๊ยมฝึกซ้อมแบ่งทีม สีเขียวสะท้อนแสง,วัสดุกีฬา,ตัว,ห้องพักครูหมวดพลศึกษา,65.00,25,48,3120.00
SPT-020,เสื้อเอี๊ยมฝึกซ้อมแบ่งทีม สีส้มสะท้อนแสง,วัสดุกีฬา,ตัว,ห้องพักครูหมวดพลศึกษา,65.00,25,50,3250.00
JAN-001,ไม้กวาดดอกหญ้าหนาพิเศษ ด้ามพลาสติก,วัสดุงานบ้านงานครัว,ด้าม,ห้องเก็บอุปกรณ์แม่บ้าน,55.00,20,46,2530.00
JAN-002,ไม้กวาดทางมะพร้าวด้ามยาว สำหรับกวาดลานดิน,วัสดุงานบ้านงานครัว,ด้าม,ห้องเก็บอุปกรณ์แม่บ้าน,65.00,15,35,2275.00
JAN-003,ที่ตักขยะพลาสติกมีด้ามจับ ทรงลึก,วัสดุงานบ้านงานครัว,อัน,ห้องเก็บอุปกรณ์แม่บ้าน,60.00,15,30,1800.00
JAN-004,ไม้ม็อบถูพื้นแบบหนีบ ด้ามสแตนเลส 10 นิ้ว,วัสดุงานบ้านงานครัว,ชุด,ห้องเก็บอุปกรณ์แม่บ้าน,150.00,12,28,4200.00
JAN-005,ผ้าม็อบถูพื้นเส้นด้ายคอตตอนสำรอง 10 นิ้ว 350 กรัม,วัสดุงานบ้านงานครัว,ผืน,ห้องเก็บอุปกรณ์แม่บ้าน,45.00,25,62,2790.00
JAN-006,ถังบีบน้ำไม้ม็อบ 20 ลิตร ล้อเลื่อน,วัสดุงานบ้านงานครัว,ถัง,ห้องเก็บอุปกรณ์แม่บ้าน,890.00,4,7,6230.00
JAN-007,ถุงขยะดำเหนียวพิเศษ 30x40 นิ้ว (แพ็ค 1 กก.),วัสดุงานบ้านงานครัว,แพ็ค,ห้องเก็บอุปกรณ์แม่บ้าน,48.00,30,75,3600.00
JAN-008,ถุงขยะดำเหนียวพิเศษ 36x45 นิ้ว (แพ็ค 1 กก.),วัสดุงานบ้านงานครัว,แพ็ค,ห้องเก็บอุปกรณ์แม่บ้าน,48.00,20,52,2496.00
JAN-009,น้ำยาล้างห้องน้ำ เป็ดโปร สูตรเข้มข้น 900 มล.,วัสดุงานบ้านงานครัว,ขวด,ห้องเก็บอุปกรณ์แม่บ้าน,52.00,24,58,3016.00
JAN-010,น้ำยาถูพื้นฆ่าเชื้อ แกลลอน 3.8 ลิตร,วัสดุงานบ้านงานครัว,แกลลอน,ห้องเก็บอุปกรณ์แม่บ้าน,160.00,10,22,3520.00
JAN-011,น้ำยาล้างจาน ซันไลต์ เลมอน แกลลอน 3600 มล.,วัสดุงานบ้านงานครัว,แกลลอน,ห้องเก็บอุปกรณ์แม่บ้าน,175.00,8,16,2800.00
JAN-012,สบู่เหลวล้างมือ กลิ่นธรรมชาติ แกลลอน 3.8 ลิตร,วัสดุงานบ้านงานครัว,แกลลอน,ห้องเก็บอุปกรณ์แม่บ้าน,190.00,8,19,3610.00
JAN-013,กระดาษชำระม้วนจัมโบ้โรล 2 ชั้น (กล่อง 12 ม้วน),วัสดุงานบ้านงานครัว,กล่อง,ห้องเก็บอุปกรณ์แม่บ้าน,580.00,5,12,6960.00
JAN-014,แปรงขัดพื้นด้ามยาวไนลอน 1.2 เมตร,วัสดุงานบ้านงานครัว,ด้าม,ห้องเก็บอุปกรณ์แม่บ้าน,85.00,15,34,2890.00
JAN-015,ถังขยะทรงสี่เหลี่ยมฝาแกว่ง 40 ลิตร,วัสดุงานบ้านงานครัว,ใบ,ห้องเก็บอุปกรณ์แม่บ้าน,260.00,8,15,3900.00
MED-001,ยาพาราเซตามอล 500 มก. (กระปุก 100 เม็ด),วัสดุวิทยาศาสตร์หรือการแพทย์,กระปุก,ห้องพยาบาล อาคาร 1,65.00,10,25,1625.00
MED-002,น้ำเกลือล้างแผล คลีนแอนด์แคร์ NSS 500 มล.,วัสดุวิทยาศาสตร์หรือการแพทย์,ขวด,ห้องพยาบาล อาคาร 1,45.00,12,28,1260.00
MED-003,แอลกอฮอล์ทำความสะอาด 70% แกลลอน 4 ลิตร,วัสดุวิทยาศาสตร์หรือการแพทย์,แกลลอน,ห้องพยาบาล อาคาร 1,240.00,6,14,3360.00
MED-004,หน้ากากอนามัยทางการแพทย์ 3 ชั้น (กล่อง 50 ชิ้น),วัสดุวิทยาศาสตร์หรือการแพทย์,กล่อง,ห้องพยาบาล อาคาร 1,65.00,20,55,3575.00
MED-005,พลาสเตอร์ปิดแผล ชนิดพลาสติกกันน้ำ (กล่อง 100 ชิ้น),วัสดุวิทยาศาสตร์หรือการแพทย์,กล่อง,ห้องพยาบาล อาคาร 1,75.00,15,36,2700.00
MED-006,สำลีก้อนชุบแอลกอฮอล์ บรรจุแผง (แพ็ค 10 แผง),วัสดุวิทยาศาสตร์หรือการแพทย์,แพ็ค,ห้องพยาบาล อาคาร 1,95.00,10,22,2090.00
MNT-001,หลอดไฟ LED T8 18W แสงขาว Daylight 120 ซม.,วัสดุไฟฟ้าและวิทยุ,หลอด,ห้องช่างซ่อมบำรุง,75.00,25,60,4500.00
MNT-002,สวิตช์ไฟฝังผนังทางเดียว Panasonic Wide Series,วัสดุไฟฟ้าและวิทยุ,ตัว,ห้องช่างซ่อมบำรุง,38.00,20,45,1710.00
MNT-003,เทปพันสายไฟ 3M Scotch 790 สีดำ,วัสดุไฟฟ้าและวิทยุ,ม้วน,ห้องช่างซ่อมบำรุง,25.00,20,48,1200.00
MNT-004,ก๊อกน้ำอ่างล้างหน้า สแตนเลส 304 ขนาด 1/2 นิ้ว,วัสดุก่อสร้าง,ตัว,ห้องช่างซ่อมบำรุง,160.00,10,22,3520.00
